price,amount,timestamp,type
65279.97,0.00076517,1727411525,bid
65276.47,0.01545596,1727411525,bid
65273.48,0.14063395,1727411525,bid
65273.44,0.0279,1727411525,bid
65270.71,0.0153,1727411525,bid
65266.57,0.153,1727411525,bid
65264.21,1.40480922,1727411525,bid
65263.25,0.00382681,1727411525,bid
65243.0,0.30868008,1727411525,bid
65220.8,0.00119,1727411525,bid
65220.79,6.24359651,1727411525,bid
65220.29,0.64854508,1727411525,bid
65200.0,1.211e-05,1727411525,bid
65191.9,0.63447384,1727411525,bid
65187.5,0.95196429,1727411525,bid
65186.11,0.08034094,1727411525,bid
65183.46,0.707,1727411525,bid
65167.5,0.62426901,1727411525,bid
65161.99,0.05824765,1727411525,bid
65126.45,2.805,1727411525,bid
65119.0,0.00766274,1727411525,bid
65029.25,3.21756199,1727411525,bid
64885.22,8.73689732,1727411525,bid
64885.21,0.00023072,1727411525,bid
64869.0,2.54993832,1727411525,bid
64832.25,0.10089395,1727411525,bid
64819.38,0.00051555,1727411525,bid
64816.76,9.248e-05,1727411525,bid
64806.94,0.00084182,1727411525,bid
64776.82,1e-05,1727411525,bid
64736.97,0.00080005,1727411525,bid
64733.0,0.00154481,1727411525,bid
64730.53,0.00245865,1727411525,bid
64725.6,1.89613236,1727411525,bid
64705.75,0.001,1727411525,bid
64703.1,0.00023183,1727411525,bid
64686.79,0.00024327,1727411525,bid
64657.22,0.00082108,1727411525,bid
64618.64,0.00129715,1727411525,bid
64607.54,0.00189685,1727411525,bid
64564.76,0.0079596,1727411525,bid
64526.8,0.02216131,1727411525,bid
64526.79,7.625e-05,1727411525,bid
64517.95,0.00104305,1727411525,bid
64516.83,0.00084561,1727411525,bid
64506.7,0.00113189,1727411525,bid
64497.51,0.00051813,1727411525,bid
64483.0,0.00310159,1727411525,bid
64438.5,0.00038734,1727411525,bid
64362.55,0.00023528,1727411525,bid
65282.6,0.01545596,1727411525,ask
65287.05,0.14063395,1727411525,ask
65289.86,0.0153,1727411525,ask
65294.01,0.153,1727411525,ask
65300.9,0.30829977,1727411525,ask
65301.42,1.40480922,1727411525,ask
65302.0,1.0,1727411525,ask
65307.82,0.2,1727411525,ask
65307.83,0.766,1727411525,ask
65313.53,0.5,1727411525,ask
65329.99,0.62217734,1727411525,ask
65330.0,3.0,1727411525,ask
65344.82,6.24359651,1727411525,ask
65348.85,0.11839104,1727411525,ask
65355.3,0.3,1727411525,ask
65356.79,0.06482185,1727411525,ask
65357.53,0.08034094,1727411525,ask
65365.13,1.53,1727411525,ask
65368.4,0.95804916,1727411525,ask
65387.04,0.425,1727411525,ask
65396.4,0.64429836,1727411525,ask
65429.1,0.6456928,1727411525,ask
65463.26,1.857,1727411525,ask
65478.94,0.00524472,1727411525,ask
65481.89,0.00306374,1727411525,ask
65492.91,0.00015269,1727411525,ask
65495.22,0.00306235,1727411525,ask
65500.0,2.25859682,1727411525,ask
65505.0,0.00070544,1727411525,ask
65518.36,0.00103608,1727411525,ask
65521.26,0.00083805,1727411525,ask
65521.99,0.0015,1727411525,ask
65522.0,0.0015,1727411525,ask
65534.17,0.02,1727411525,ask
65541.86,0.00023544,1727411525,ask
65544.3,0.00527242,1727411525,ask
65548.86,5.635,1727411525,ask
65551.49,0.00087536,1727411525,ask
65553.77,0.00073222,1727411525,ask
65561.17,0.00081705,1727411525,ask
65566.62,0.0015,1727411525,ask
65575.96,6.341e-05,1727411525,ask
65576.05,0.00010023,1727411525,ask
65576.13,6.33e-05,1727411525,ask
65576.26,0.00019535,1727411525,ask
65578.25,5.454e-05,1727411525,ask
65587.33,0.00016455,1727411525,ask
65588.29,4.609e-05,1727411525,ask
65589.34,0.00402957,1727411525,ask
65593.89,0.00306529,1727411525,ask
